iter	Logloss
0	0.6700941406
1	0.6497642578
2	0.6296855469
3	0.6121715495
4	0.5969683594
5	0.5817941406
6	0.5668483724
7	0.553059375
8	0.5405892253
9	0.5280063477
10	0.5167903646
11	0.5078629557
12	0.4997617187
13	0.4904645508
14	0.4820262695
15	0.4738415039
16	0.4659065104
17	0.4585134115
18	0.4527692057
19	0.4464660482
20	0.4433690104
21	0.4378082357
22	0.432689974
23	0.4277108724
24	0.4225901693
25	0.4195472656
26	0.4156464193
27	0.4118181315
28	0.4084462891
29	0.4051685221
30	0.4023629557
31	0.3994044271
32	0.3964860026
33	0.3930160807
34	0.390666569
35	0.3886105469
36	0.3864920247
37	0.3840345703
38	0.381884082
39	0.3799901042
40	0.378168099
41	0.3760783854
42	0.3744242513
43	0.3731649414
44	0.371356543
45	0.3699664388
46	0.3689889648
47	0.3674622396
48	0.365908138
49	0.3646167318
50	0.3631220703
51	0.3622655599
52	0.3610641602
53	0.3601020508
54	0.3591670573
55	0.3580042969
56	0.3570940755
57	0.3562796224
58	0.3553898437
59	0.3543894531
60	0.3533820313
61	0.3524433268
62	0.3514557943
63	0.3504794596
64	0.3497284505
65	0.3490729492
66	0.3483316732
67	0.3474455729
68	0.346878418
69	0.3462711589
70	0.3456268229
71	0.3450953776
72	0.344439974
73	0.3438033854
74	0.3433307943
75	0.3427730469
76	0.3423979818
77	0.3417851562
78	0.3412452474
79	0.3406232422
80	0.3403434896
81	0.3399383464
82	0.3396017904
83	0.3391202474
84	0.3386504883
85	0.338327181
86	0.3379708008
87	0.3377958659
88	0.3373210938
89	0.3368796549
90	0.3364772461
91	0.3361805339
92	0.3358656901
93	0.335413444
94	0.3352156901
95	0.3349438802
96	0.3344872396
97	0.3343173177
98	0.3338963542
99	0.3335790365
100	0.3333953125
101	0.3330094076
102	0.3327467122
103	0.3324857747
104	0.332160026
105	0.3319210286
106	0.3315238607
107	0.3311071615
108	0.3307707682
109	0.3306658203
110	0.3304526042
111	0.3301672201
112	0.3300300781
113	0.3297441081
114	0.3296729818
115	0.3293002279
116	0.3291486979
117	0.3288130859
118	0.3284435547
119	0.328201888
120	0.3280334961
121	0.3277645833
122	0.3274496745
123	0.3273481445
124	0.3270507487
125	0.3267822266
126	0.3264689453
127	0.3261700521
128	0.3260244141
129	0.325918099
130	0.3255784505
131	0.3254942057
132	0.3253840169
133	0.3251201172
134	0.3248070964
135	0.3247521484
136	0.3245382487
137	0.324199349
138	0.3241500651
139	0.3239853516
140	0.3239542643
141	0.323829362
142	0.3237589193
143	0.3235019531
144	0.3234539714
145	0.3232007161
146	0.3231158203
147	0.3228177083
148	0.3226326823
149	0.3223451497
150	0.3222218424
151	0.3221463216
152	0.3220621094
153	0.3220242839
154	0.3217772135
155	0.3217411458
156	0.3215589193
157	0.3214979167
158	0.3214249674
159	0.3211004232
160	0.3208835612
161	0.3208094401
162	0.3207336914
163	0.3206953776
164	0.3204006185
165	0.3201215495
166	0.3199903646
167	0.3199083984
168	0.3197379232
169	0.3197062826
170	0.3194960937
171	0.3194499674
172	0.3193363932
173	0.3190901693
174	0.3190257812
175	0.3188347331
176	0.3186907878
177	0.3185095052
178	0.3184107422
179	0.3182236654
180	0.318078776
181	0.3177722005
182	0.3176104167
183	0.317476888
184	0.3174085286
185	0.3171892253
186	0.3170976563
187	0.3168959961
188	0.3167472656
189	0.316465625
190	0.3163451497
191	0.3163223958
192	0.3161710286
193	0.3160242187
194	0.3160085938
195	0.3159724284
196	0.3158210938
197	0.3156304688
198	0.3154270508
199	0.3152647461
200	0.3150285807
201	0.3149691732
202	0.3147611979
203	0.3146872721
204	0.3146549479
205	0.3145383789
206	0.3145142904
207	0.3143402995
208	0.3143010742
209	0.3141447917
210	0.3139815104
211	0.3137623047
212	0.3137287109
213	0.3135203451
214	0.3134099284
215	0.3132213542
216	0.3130994141
217	0.3129096354
218	0.3128860026
219	0.3128185547
220	0.3126380208
221	0.312446875
222	0.3123501953
223	0.3123217773
224	0.3121497721
225	0.3119651042
226	0.3118082682
227	0.3117280599
228	0.3116199544
229	0.3116022135
230	0.3115299154
231	0.3114058919
232	0.3113790365
233	0.3112594401
234	0.3111172526
235	0.3110277995
236	0.3110044271
237	0.3109294271
238	0.3108870117
239	0.3107443359
240	0.3106374674
241	0.3105852214
242	0.3103171224
243	0.3102095378
244	0.3101842448
245	0.310000944
246	0.3097948568
247	0.3097146484
248	0.3097063477
249	0.3096521159
250	0.3094816732
251	0.3092856771
252	0.3091333333
253	0.3089811523
254	0.3089260742
255	0.3087707682
256	0.3087260417
257	0.308705013
258	0.3086640299
259	0.3085230143
260	0.3083972982
261	0.3083521484
262	0.3081697266
263	0.3079426107
264	0.3078138021
265	0.3077779622
266	0.3076147461
267	0.3074989583
268	0.3074832031
269	0.3074391602
270	0.3072922852
271	0.3071976563
272	0.3070723958
273	0.3070216146
274	0.3067730143
275	0.3066638997
276	0.3066483073
277	0.3065575521
278	0.3064519531
279	0.3063933594
280	0.306328125
281	0.3061569661
282	0.3060597331
283	0.3059803385
