iter	Passed	Remaining
0	2	1447
1	6	2000
2	10	1994
3	11	1780
4	15	1875
5	19	1900
6	21	1799
7	24	1791
8	26	1716
9	28	1695
10	31	1678
11	34	1667
12	35	1602
13	37	1588
14	40	1573
15	42	1559
16	45	1558
17	47	1551
18	49	1509
19	51	1506
20	53	1466
21	55	1456
22	57	1453
23	60	1463
24	63	1469
25	66	1472
26	69	1470
27	71	1451
28	73	1446
29	75	1442
30	78	1439
31	81	1438
32	83	1434
33	86	1438
34	89	1441
35	92	1445
36	94	1430
37	96	1430
38	100	1439
39	102	1436
40	105	1432
41	107	1431
42	110	1426
43	111	1409
44	113	1405
45	116	1401
46	118	1398
47	121	1393
48	123	1390
49	125	1378
50	127	1371
51	129	1368
52	131	1359
53	133	1354
54	136	1352
55	139	1351
56	142	1353
57	144	1352
58	147	1350
59	149	1347
60	152	1345
61	154	1341
62	157	1341
63	159	1337
64	162	1335
65	164	1333
66	167	1330
67	169	1326
68	171	1322
69	174	1318
70	176	1313
71	178	1308
72	181	1308
73	184	1308
74	186	1308
75	189	1305
76	191	1298
77	193	1295
78	195	1291
79	198	1290
80	200	1284
81	202	1281
82	205	1277
83	208	1278
84	210	1277
85	213	1274
86	215	1271
87	217	1262
88	219	1262
89	222	1261
90	225	1260
91	228	1263
92	231	1260
93	234	1263
94	236	1259
95	238	1254
96	241	1254
97	244	1251
98	247	1251
99	250	1250
100	252	1248
101	255	1248
102	259	1251
103	263	1256
104	266	1255
105	268	1253
106	271	1252
107	274	1251
108	278	1254
109	283	1261
110	287	1264
111	291	1268
112	295	1273
113	299	1275
114	301	1270
115	304	1270
116	307	1270
117	310	1269
118	314	1269
119	317	1269
120	319	1265
121	324	1271
122	327	1269
123	330	1269
124	333	1268
125	337	1267
126	340	1268
127	343	1267
128	347	1267
129	350	1266
130	353	1266
131	356	1265
132	360	1265
133	363	1264
134	367	1264
135	370	1262
136	374	1264
137	378	1268
138	382	1268
139	385	1268
140	389	1267
141	393	1268
142	397	1269
143	400	1268
144	404	1267
145	408	1270
146	411	1269
147	415	1269
148	419	1268
149	422	1267
150	425	1264
151	428	1262
152	431	1260
153	433	1254
154	436	1253
155	438	1247
156	441	1245
157	444	1242
158	447	1240
159	450	1238
160	453	1236
161	456	1234
162	459	1232
163	462	1230
164	466	1228
165	469	1226
166	472	1224
167	474	1221
168	477	1218
169	480	1214
170	483	1212
171	486	1209
172	488	1206
173	491	1204
174	494	1201
175	498	1200
176	501	1198
177	504	1195
178	507	1193
179	510	1191
180	513	1188
181	515	1185
182	518	1181
183	523	1183
184	526	1181
185	529	1179
186	532	1176
187	535	1173
188	538	1171
189	542	1169
190	545	1167
191	547	1162
192	550	1160
193	552	1157
194	554	1151
195	556	1146
196	558	1142
197	560	1138
198	563	1135
199	565	1131
200	568	1128
201	570	1124
202	573	1121
203	575	1117
204	577	1111
205	579	1108
206	580	1102
207	583	1098
208	585	1095
209	587	1091
210	590	1088
211	592	1085
212	595	1081
213	597	1078
214	600	1075
215	603	1072
216	605	1069
217	609	1068
218	610	1062
219	613	1060
220	616	1056
221	619	1054
222	621	1050
223	626	1051
224	629	1049
225	633	1047
226	636	1045
227	638	1042
228	641	1038
229	643	1034
230	645	1031
231	647	1027
232	649	1022
233	651	1019
234	654	1015
235	656	1012
236	658	1008
237	660	1004
238	663	1001
239	665	998
240	668	995
241	670	991
242	673	988
243	675	985
244	677	981
245	679	978
246	682	975
247	685	973
248	686	968
249	688	964
250	691	960
251	693	957
252	695	953
253	697	950
254	699	946
255	702	943
256	704	940
257	705	935
258	708	932
259	710	928
260	712	925
261	714	922
262	717	918
263	719	915
264	721	912
265	723	908
266	726	905
267	728	902
268	730	898
269	732	895
270	734	892
271	737	888
272	739	885
273	741	882
274	744	879
275	746	876
276	748	872
277	750	869
278	753	866
279	755	863
280	757	860
281	760	857
282	762	854
283	764	851
284	767	847
285	769	844
286	771	840
287	773	837
288	775	834
289	778	831
290	780	828
291	782	825
292	784	822
293	786	819
294	789	815
295	791	812
296	793	809
297	796	807
298	798	803
299	801	801
300	803	798
301	805	794
302	807	791
303	810	788
304	812	785
305	814	782
306	816	779
307	818	775
308	820	773
309	823	770
310	825	767
311	828	764
312	830	761
313	833	759
314	835	755
315	837	752
316	839	749
317	841	746
318	844	743
319	846	740
320	849	738
321	851	735
322	854	732
323	857	730
324	859	727
325	862	724
326	864	721
327	866	718
328	869	715
329	871	713
330	873	710
331	876	707
332	878	704
333	880	701
334	883	698
335	885	695
336	888	693
337	890	690
338	892	687
339	895	684
340	897	681
341	899	678
342	902	675
343	904	673
344	906	670
345	909	667
346	911	664
347	914	661
348	916	659
349	918	656
350	921	653
351	923	650
352	925	647
353	928	645
354	930	642
355	932	639
356	935	636
357	937	633
358	940	631
359	942	628
360	945	625
361	947	623
362	950	620
363	952	617
364	954	614
365	957	612
366	959	609
367	961	606
368	964	603
369	966	601
370	969	598
371	971	595
372	974	592
373	976	590
374	978	587
375	981	584
376	983	581
377	986	579
378	988	576
379	991	573
380	993	571
381	996	568
382	998	565
383	1000	563
384	1003	560
385	1005	557
386	1008	554
387	1010	552
388	1012	549
389	1015	546
390	1017	544
391	1020	541
392	1022	538
393	1024	535
394	1027	533
395	1030	530
396	1032	527
397	1034	525
398	1037	522
399	1039	519
400	1042	517
401	1044	514
402	1046	511
403	1049	509
404	1051	506
405	1054	503
406	1056	500
407	1058	498
408	1061	495
409	1063	492
410	1065	490
411	1068	487
412	1071	485
413	1073	482
414	1076	479
415	1078	477
416	1081	474
417	1083	471
418	1086	469
419	1088	466
420	1090	463
421	1093	461
422	1095	458
423	1098	455
424	1100	453
425	1103	450
426	1105	447
427	1107	445
428	1110	442
429	1112	439
430	1114	437
431	1117	434
432	1120	431
433	1122	429
434	1125	426
435	1127	424
436	1129	421
437	1132	418
438	1134	416
439	1136	413
440	1138	410
441	1141	407
442	1143	405
443	1145	402
444	1148	399
445	1151	397
446	1153	394
447	1156	392
448	1158	389
449	1160	386
450	1162	384
451	1165	381
452	1167	378
453	1169	376
454	1171	373
455	1173	370
456	1176	367
457	1178	365
458	1180	362
459	1183	360
460	1186	357
461	1188	355
462	1191	352
463	1193	349
464	1196	347
465	1198	344
466	1201	342
467	1203	339
468	1206	336
469	1208	334
470	1211	331
471	1213	329
472	1216	326
473	1218	323
474	1221	321
475	1223	318
476	1225	316
477	1227	313
478	1230	310
479	1232	308
480	1234	305
481	1236	302
482	1239	300
483	1241	297
484	1243	294
485	1245	292
486	1248	289
487	1250	286
488	1252	284
489	1254	281
490	1257	279
491	1259	276
492	1261	273
493	1264	271
494	1266	268
495	1268	266
496	1270	263
497	1273	260
498	1275	258
499	1277	255
500	1279	252
501	1282	250
502	1284	247
503	1286	245
504	1289	242
505	1291	239
506	1293	237
507	1296	234
508	1298	232
509	1300	229
510	1303	226
511	1305	224
512	1307	221
513	1310	219
514	1312	216
515	1315	214
516	1317	211
517	1319	208
518	1322	206
519	1324	203
520	1326	201
521	1329	198
522	1331	196
523	1333	193
524	1336	190
525	1338	188
526	1340	185
527	1343	183
528	1345	180
529	1347	178
530	1350	175
531	1352	172
532	1354	170
533	1357	167
534	1359	165
535	1362	162
536	1364	160
537	1366	157
538	1369	154
539	1371	152
540	1375	149
541	1377	147
542	1380	144
543	1384	142
544	1388	140
545	1392	137
546	1394	135
547	1398	132
548	1401	130
549	1404	127
550	1409	125
551	1413	122
552	1415	120
553	1418	117
554	1421	115
555	1425	112
556	1428	110
557	1430	107
558	1433	105
559	1436	102
560	1439	100
561	1442	97
562	1444	94
563	1447	92
564	1449	89
565	1452	87
566	1454	84
567	1457	82
568	1459	79
569	1461	76
570	1464	74
571	1466	71
572	1468	69
573	1470	66
574	1473	64
575	1475	61
576	1477	58
577	1479	56
578	1482	53
579	1484	51
580	1487	48
581	1489	46
582	1491	43
583	1494	40
584	1496	38
585	1499	35
586	1501	33
587	1503	30
588	1506	28
589	1508	25
590	1510	23
591	1512	20
592	1515	17
593	1517	15
594	1519	12
595	1521	10
596	1523	7
597	1526	5
598	1528	2
599	1530	0
