iter	Logloss
0	0.6841982869
1	0.6758100621
2	0.6679549977
3	0.660824388
4	0.6539557806
5	0.6475714272
6	0.6413918208
7	0.6357001027
8	0.630311412
9	0.6254203953
10	0.6206479586
11	0.6164124181
12	0.6122478594
13	0.6083599892
14	0.6047880696
15	0.6013365581
16	0.5981585718
17	0.5950476635
18	0.5923161107
19	0.5895795059
20	0.586941703
21	0.5844567917
22	0.5822744883
23	0.5801354294
24	0.5780831827
25	0.5762949769
26	0.5745430149
27	0.573033234
28	0.5713913859
29	0.5699324631
30	0.5685551863
31	0.5671709122
32	0.5658715086
33	0.5651124888
34	0.5639724235
35	0.5628918136
36	0.561849519
37	0.5608715668
38	0.5600220305
39	0.5591154233
40	0.5583702089
41	0.5576096231
42	0.5569377779
43	0.5561921449
44	0.5555236034
45	0.5548728011
46	0.55419415
47	0.5536033315
48	0.5530359554
49	0.5525233071
50	0.5520290791
51	0.5514823723
52	0.5509675904
53	0.5505240486
54	0.5500286279
55	0.5496249844
56	0.549171191
57	0.5487403738
58	0.5483573435
59	0.5480026825
60	0.5476149669
61	0.5472841319
62	0.5469523528
63	0.5466106292
64	0.5462861438
65	0.5459416338
66	0.545692151
67	0.5454563529
68	0.5452233342
69	0.5449813065
70	0.5447294445
71	0.5444738747
72	0.5442811224
73	0.5440893851
74	0.543889781
75	0.5437110086
76	0.5434917985
77	0.5433071253
78	0.543139519
79	0.5429608645
80	0.5428086855
81	0.5426248562
82	0.5424651704
83	0.5422957799
84	0.5421514757
85	0.5420021894
86	0.5418398504
87	0.5416732125
88	0.541506428
89	0.541345108
90	0.5412105684
91	0.5410514369
92	0.5409435596
93	0.540802989
94	0.5406830433
95	0.5405827251
96	0.5404914156
97	0.5403868872
98	0.5402957251
99	0.5402077421
100	0.5400902755
101	0.539981873
102	0.5398739723
103	0.5397870045
104	0.5397193075
105	0.5396477841
106	0.5395630592
107	0.5394691077
108	0.5393941006
109	0.5392746911
110	0.5391978783
111	0.5391454483
112	0.5390748605
113	0.5389982195
114	0.5389161026
115	0.5388709941
116	0.5388075319
117	0.5387598323
118	0.5386875009
119	0.5385949749
120	0.538498342
121	0.5384306294
122	0.5383680046
123	0.5382835674
124	0.5382302607
125	0.5381793201
126	0.5381096693
127	0.5380547499
128	0.5380055186
129	0.5379587431
130	0.5379052536
131	0.5378519068
132	0.5377792009
133	0.5377382509
134	0.5376998269
135	0.5376376182
136	0.5375660682
137	0.5375146547
138	0.5374792528
139	0.5374422439
140	0.5374061991
141	0.5373614091
142	0.5373035992
143	0.5372642161
144	0.5372382011
145	0.5372017119
146	0.5371317842
147	0.5370860631
148	0.5370535421
149	0.5370009324
150	0.5369630632
151	0.5369081586
152	0.5368520328
153	0.5368071628
154	0.5367446229
155	0.5366982305
156	0.5366545217
157	0.5366270102
158	0.5365755145
159	0.5365351327
160	0.5364933362
161	0.5364661303
162	0.5364217387
163	0.5363712678
164	0.5363524289
165	0.5362766948
166	0.5362493172
167	0.5362056205
168	0.53617802
169	0.5361338868
170	0.5360862641
171	0.5360464489
172	0.5360004245
173	0.5359761829
174	0.5359602684
175	0.5359407896
176	0.5359049301
177	0.5358754449
178	0.5358357566
179	0.5358074501
180	0.5357642536
181	0.5357014099
182	0.535652076
183	0.5356310361
184	0.5355939797
185	0.5355613433
186	0.5355141206
187	0.5354790445
188	0.5354376949
189	0.5353965492
190	0.5353714134
191	0.5353351703
192	0.535295156
193	0.5352790988
194	0.5352189456
195	0.5351872098
196	0.5351657245
197	0.5351392717
198	0.5351214561
199	0.5351046021
200	0.5350824146
201	0.535043155
202	0.5350189048
203	0.5349922788
204	0.5349697081
205	0.5349548036
206	0.534934826
207	0.534909325
208	0.5348708164
209	0.5348564615
210	0.5348244586
211	0.5348017961
212	0.5347800333
213	0.5347569565
214	0.5347363631
215	0.5347184752
216	0.5346889709
217	0.5346633413
218	0.534623461
219	0.5345820049
220	0.5345402772
221	0.5345098599
222	0.5344868876
223	0.5344736465
224	0.5344489221
225	0.5344321547
226	0.5344117736
227	0.5343717181
228	0.5343525781
229	0.5343337013
230	0.5343073308
231	0.5342695157
232	0.5342283576
233	0.5342028159
234	0.5341791958
235	0.5341615863
236	0.5341410368
237	0.534115077
238	0.5340836601
239	0.5340617808
240	0.5340432568
241	0.5340085736
242	0.533993426
243	0.5339618878
244	0.5339316005
245	0.5339088481
246	0.5338843106
247	0.5338779871
248	0.5338723507
249	0.5338602805
250	0.5338405586
251	0.5338193098
252	0.5338004156
253	0.5337757999
254	0.533749682
255	0.5337247235
256	0.5336897518
257	0.5336656956
258	0.5336435698
259	0.5336091541
260	0.5335856749
261	0.5335740798
262	0.5335472565
263	0.5335167074
264	0.5334969916
265	0.5334842297
266	0.5334499299
267	0.5334155722
268	0.533397469
269	0.5333699705
270	0.5333339235
271	0.5333208668
272	0.5333107421
273	0.5332808528
274	0.5332703704
275	0.5332577047
276	0.5332498079
277	0.5332249721
278	0.5331820422
279	0.533157164
280	0.5331237771
281	0.533109446
282	0.5330946232
283	0.5330762967
284	0.5330540912
285	0.5330398509
286	0.5330157925
287	0.5329981708
288	0.5329724731
289	0.5329429886
290	0.5329206703
291	0.5329170708
292	0.5328996113
293	0.5328921013
294	0.5328784522
295	0.5328636946
296	0.5328435322
297	0.5328107623
298	0.5327822585
299	0.5327418154
300	0.5327115778
301	0.5326943366
302	0.5326670055
303	0.5326505833
304	0.532632476
305	0.5326238802
306	0.5326004654
307	0.532578827
308	0.5325650417
309	0.5325570186
310	0.5325168706
311	0.532499928
312	0.5324881277
313	0.5324776026
314	0.5324621251
315	0.5324354785
316	0.5324138734
317	0.5323863647
318	0.5323720968
319	0.5323567994
320	0.5323292205
321	0.532320656
322	0.5322814928
323	0.5322720985
324	0.532231292
325	0.5322185684
326	0.5322073634
327	0.5321892698
328	0.5321679259
329	0.5321428532
330	0.532129843
331	0.5321017071
332	0.5320688926
333	0.532035651
334	0.5320045809
335	0.5319953834
336	0.5319675533
337	0.5319410591
338	0.5319334482
339	0.5319247538
340	0.5319192069
341	0.5319155912
342	0.5318919763
343	0.5318691603
344	0.5318343067
345	0.5318273883
346	0.5318159505
347	0.5317732071
348	0.5317599525
349	0.531736587
350	0.5317211254
351	0.531719495
352	0.5316884586
353	0.5316766533
354	0.5316586146
355	0.5316476315
356	0.5316297103
357	0.5316150452
358	0.5315924579
359	0.5315755957
360	0.5315535495
361	0.5315277034
362	0.5315023249
363	0.531484376
364	0.5314737478
365	0.5314417659
366	0.531426881
367	0.53142361
368	0.5314208794
369	0.5314016673
370	0.5313899551
371	0.5313718983
372	0.5313692809
373	0.531324624
374	0.531309214
375	0.5312995918
376	0.5312869395
377	0.5312713143
378	0.5312695144
379	0.5312478084
380	0.5312123276
381	0.5311910307
382	0.5311867431
383	0.531183107
384	0.5311486294
385	0.5311345612
386	0.5311039949
387	0.5310835951
388	0.5310811875
389	0.5310524117
390	0.5310406555
391	0.5310329963
392	0.5310191824
393	0.5310020195
394	0.5309973271
395	0.530985169
396	0.530956358
397	0.5309540049
398	0.5309477147
399	0.5309354901
400	0.5309132827
401	0.5309038828
402	0.530885325
403	0.5308689807
404	0.5308510902
405	0.5308245359
406	0.5308227725
407	0.5308165192
408	0.5307864029
409	0.5307495957
410	0.5307277788
411	0.5307238823
412	0.5307222179
413	0.5306898657
414	0.5306681405
415	0.5306591978
416	0.5306573151
417	0.5306553242
418	0.5306285546
419	0.5306271642
420	0.5306076161
421	0.530606645
422	0.5305878036
423	0.5305866412
424	0.5305829888
425	0.5305573483
426	0.5305470712
427	0.5305308614
428	0.530516749
429	0.5305108787
